Filme;codec;tamanho;;
/media/DISC01/OsMeusFilmes/(500) Days of Summer (2009)/500.Dias.Com.Summer.2009.DVDRip.XviD-NYDIC.avi;mpeg4;701M;v;
/media/DISC01/OsMeusFilmes/$9.99 (2010)/$9.99_dvdrip.avi;mpeg4;704M;v;
/media/DISC01/OsMeusFilmes/10,000 BC (2008)/10,000 BC DVD.mkv;mpeg2video;3,2G;v;capitulos
/media/DISC01/OsMeusFilmes/127 Hours (2011)/127 Hours__WWW.SECTORFILE.COM.avi;mpeg4;2,4G;v;
/media/DISC01/OsMeusFilmes/13 Going on 30 (2004)/13_going_on_30(2004)[Brizzly].avi;mpeg4;701M;v;
/media/DISC01/OsMeusFilmes/15 Minutes (2001)/15 Minutes [tt0179626] CD1.mpg;mpeg2video;784M;;
/media/DISC01/OsMeusFilmes/15 Minutes (2001)/15 Minutes [tt0179626] CD2.mpg;mpeg2video;784M;;
/media/DISC01/OsMeusFilmes/17 Again (2009)/17 Again[2009]DvDrip[Eng]-FXG.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/18 Year Old Virgin (2009)/18 Year Old Virgin__WWW.PIRATATUGA.NET.avi;mpeg4;702M;v;
/media/DISC01/OsMeusFilmes/2 Days in Paris (2007)/2.Days.In.Paris.LiMiTED.PROPER.DVDRip.XviD-DoNE.avi;mpeg4;700M;v;
/media/DISC01/OsMeusFilmes/2 Fast 2 Furious (2003)/2 Fast 2 Furious DVD.mkv;mpeg2video;2,6G;v;capitulos
/media/DISC01/OsMeusFilmes/2012 Doomsday (2008)/2012 Doomsday (2008) [tt0460808].avi;mpeg4;698M;v;
/media/DISC01/OsMeusFilmes/21 (2008)/21.R5.LiNE.XViD-PUKKA.avi;mpeg4;699M;e;
/media/DISC01/OsMeusFilmes/21 Grams (2004)/21.Grams.2003.LiMiTED.DVDrip.XViD-ALLiANCE.CD1.avi;mpeg4;699M;;
